"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,2298.783092,9.963578,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,16052.233878,1118.557192,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,3064.403569,16.901543,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,728.374680,1.758088,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes","thrpt",4,5,3220.186393,3.595698,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes","thrpt",4,5,22088.908950,326.176265,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes","thrpt",4,5,4382.733940,31.708573,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes","thrpt",4,5,642.566830,1.693848,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,3264.868515,83.000309,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,22346.814522,402.903614,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,4478.932424,84.823907,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes2","thrpt",4,5,644.797980,5.756266,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,2987.725536,6.914034,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,22270.298271,702.183804,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,4354.953343,34.095124,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,742.230278,3.821662,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,3362.388291,51.110246,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,26468.933154,597.595123,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,4362.673892,52.385719,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,713.904343,2.717607,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,3350.734172,11.897369,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,22113.863050,533.540800,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,4405.808166,21.047375,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,715.798880,2.965129,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,3270.356897,9.934379,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,22220.158912,796.732832,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,4316.553377,56.511639,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,713.918155,1.758996,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO","thrpt",4,5,3394.042015,18.566351,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO","thrpt",4,5,22312.629991,547.336595,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO","thrpt",4,5,4324.872252,105.401581,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO","thrpt",4,5,712.300153,2.128213,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesGen","thrpt",4,5,3195.445903,8.589398,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesGen","thrpt",4,5,20744.963106,450.816437,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesGen","thrpt",4,5,3972.030113,21.303074,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesGen","thrpt",4,5,711.536329,2.453353,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesMmap","thrpt",4,5,3320.029081,65.445380,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesMmap","thrpt",4,5,22122.346872,556.053196,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesMmap","thrpt",4,5,4559.997663,536.080003,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesMmap","thrpt",4,5,714.088970,1.511785,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFM","thrpt",4,5,1033.076881,6.955372,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEFFM","thrpt",4,5,1580.415723,1.627524,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFM","thrpt",4,5,1081.609738,11.713680,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEFFM","thrpt",4,5,522.630426,1.116651,"ops/s",MULTILAYER_BLOCK
