"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,2298.783092,9.963578,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:CPI","thrpt",4,1,1.228617,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:IPC","thrpt",4,1,0.813923,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:branch-misses","thrpt",4,1,3593.006289,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:branches","thrpt",4,1,154957.004925,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:cycles","thrpt",4,1,1366214.977806,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE:instructions","thrpt",4,1,1111994.030650,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,16052.233878,1118.557192,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:CPI","thrpt",4,1,0.424509,NaN,"clks/insn",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:IPC","thrpt",4,1,2.355665,NaN,"insns/clk",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:branch-misses","thrpt",4,1,13.952182,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:branches","thrpt",4,1,50311.137282,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:cycles","thrpt",4,1,196119.851549,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:instructions","thrpt",4,1,461992.692884,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,3064.403569,16.901543,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:CPI","thrpt",4,1,1.647009,NaN,"clks/insn",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:IPC","thrpt",4,1,0.607161,NaN,"insns/clk",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:branch-misses","thrpt",4,1,28.216313,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:branches","thrpt",4,1,61438.833901,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:cycles","thrpt",4,1,1019363.081439,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:instructions","thrpt",4,1,618917.827557,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWE","thrpt",4,5,728.374680,1.758088,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:CPI","thrpt",4,1,1.167129,NaN,"clks/insn",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:IPC","thrpt",4,1,0.856803,NaN,"insns/clk",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:branch-misses","thrpt",4,1,22705.098685,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:branches","thrpt",4,1,655818.663947,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:cycles","thrpt",4,1,4322953.581758,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWE:instructions","thrpt",4,1,3703920.035522,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytes","thrpt",4,5,3220.186393,3.595698,"ops/s",RANDOM
