Benchmark,Param: blockTypeStr,Score,Score Error (99.9%),Unit
GeoDriverBenchParams.checkNearestNSWE,RANDOM,2298.783092,9.963578,ops/s
GeoDriverBenchParams.checkNearestNSWE,FLAT_BLOCK,16052.233878,1118.557192,ops/s
GeoDriverBenchParams.checkNearestNSWE,COMPLEX_BLOCK,3064.403569,16.901543,ops/s
GeoDriverBenchParams.checkNearestNSWE,MULTILAYER_BLOCK,728.374680,1.758088,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes,RANDOM,3220.186393,3.595698,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes,FLAT_BLOCK,22088.908950,326.176265,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes,COMPLEX_BLOCK,4382.733940,31.708573,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes,MULTILAYER_BLOCK,642.566830,1.693848,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes2,RANDOM,3264.868515,83.000309,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes2,FLAT_BLOCK,22346.814522,402.903614,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes2,COMPLEX_BLOCK,4478.932424,84.823907,ops/s
GeoDriverBenchParams.checkNearestNSWEBytes2,MULTILAYER_BLOCK,644.797980,5.756266,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirect,RANDOM,2987.725536,6.914034,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirect,FLAT_BLOCK,22270.298271,702.183804,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirect,COMPLEX_BLOCK,4354.953343,34.095124,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirect,MULTILAYER_BLOCK,742.230278,3.821662,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIR,RANDOM,3362.388291,51.110246,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIR,FLAT_BLOCK,26468.933154,597.595123,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIR,COMPLEX_BLOCK,4362.673892,52.385719,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIR,MULTILAYER_BLOCK,713.904343,2.717607,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIf,RANDOM,3350.734172,11.897369,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIf,FLAT_BLOCK,22113.863050,533.540800,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIf,COMPLEX_BLOCK,4405.808166,21.047375,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIf,MULTILAYER_BLOCK,715.798880,2.965129,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp,RANDOM,3270.356897,9.934379,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp,FLAT_BLOCK,22220.158912,796.732832,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp,COMPLEX_BLOCK,4316.553377,56.511639,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp,MULTILAYER_BLOCK,713.918155,1.758996,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO,RANDOM,3394.042015,18.566351,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO,FLAT_BLOCK,22312.629991,547.336595,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO,COMPLEX_BLOCK,4324.872252,105.401581,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO,MULTILAYER_BLOCK,712.300153,2.128213,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesGen,RANDOM,3195.445903,8.589398,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesGen,FLAT_BLOCK,20744.963106,450.816437,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesGen,COMPLEX_BLOCK,3972.030113,21.303074,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesGen,MULTILAYER_BLOCK,711.536329,2.453353,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesMmap,RANDOM,3320.029081,65.445380,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesMmap,FLAT_BLOCK,22122.346872,556.053196,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesMmap,COMPLEX_BLOCK,4559.997663,536.080003,ops/s
GeoDriverBenchParams.checkNearestNSWEBytesMmap,MULTILAYER_BLOCK,714.088970,1.511785,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM,RANDOM,1033.076881,6.955372,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM,FLAT_BLOCK,1580.415723,1.627524,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM,COMPLEX_BLOCK,1081.609738,11.713680,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM,MULTILAYER_BLOCK,522.630426,1.116651,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMLong,RANDOM,3210.012264,8.897162,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMLong,FLAT_BLOCK,20788.669907,375.099825,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMLong,COMPLEX_BLOCK,4151.389962,20.675147,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMLong,MULTILAYER_BLOCK,724.563216,4.258058,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMStruct,RANDOM,3179.048038,9.591318,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMStruct,FLAT_BLOCK,18910.724479,645.531293,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMStruct,COMPLEX_BLOCK,4020.572148,7.714338,ops/s
GeoDriverBenchParams.checkNearestNSWEFFMStruct,MULTILAYER_BLOCK,729.871354,8.235447,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM_T,RANDOM,3375.409893,19.772614,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM_T,FLAT_BLOCK,22272.780713,470.396486,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM_T,COMPLEX_BLOCK,4508.373787,11.795254,ops/s
GeoDriverBenchParams.checkNearestNSWEFFM_T,MULTILAYER_BLOCK,766.335693,2.477091,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH,RANDOM,2333.445073,23.832106,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH,FLAT_BLOCK,9984.593137,412.221254,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH,COMPLEX_BLOCK,4241.294381,111.436047,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH,MULTILAYER_BLOCK,626.024146,8.742567,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH_CMP,RANDOM,2778.168721,37.877455,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH_CMP,FLAT_BLOCK,22133.114752,177.852885,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH_CMP,COMPLEX_BLOCK,4388.924528,62.929943,ops/s
GeoDriverBenchParams.checkNearestNSWE_MH_CMP,MULTILAYER_BLOCK,640.348726,3.175186,ops/s
GeoDriverBenchParams.checkNearestNSWE_base,RANDOM,353117.713147,731.761700,ops/s
GeoDriverBenchParams.checkNearestNSWE_base,FLAT_BLOCK,352814.504223,503.288589,ops/s
GeoDriverBenchParams.checkNearestNSWE_base,COMPLEX_BLOCK,353107.956354,524.723086,ops/s
GeoDriverBenchParams.checkNearestNSWE_base,MULTILAYER_BLOCK,353574.174903,2958.677735,ops/s
