"Benchmark","R","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"checkNearestNSWE","rate","thrpt",4,10,2197.547809,3.169019,"ops/s",RANDOM
"checkNearestNSWE","CPI","thrpt",4,1,1.251928,NaN,"clks/insn",RANDOM
"checkNearestNSWE","IPC","thrpt",4,1,0.798768,NaN,"insns/clk",RANDOM
"checkNearestNSWE","L1-dcache-loads","thrpt",4,1,345024.405694,NaN,"#/op",RANDOM
"checkNearestNSWE","L1-dcache-stores","thrpt",4,1,93115.629239,NaN,"#/op",RANDOM
"checkNearestNSWE","L1-icache-load-misses","thrpt",4,1,964.675266,NaN,"#/op",RANDOM
"checkNearestNSWE","L1-icache-loads","thrpt",4,1,520729.016892,NaN,"#/op",RANDOM
"checkNearestNSWE","LLC-load-misses","thrpt",4,1,0.034432,NaN,"#/op",RANDOM
"checkNearestNSWE","LLC-loads","thrpt",4,1,4242.024867,NaN,"#/op",RANDOM
"checkNearestNSWE","LLC-store-misses","thrpt",4,1,0.000976,NaN,"#/op",RANDOM
"checkNearestNSWE","LLC-stores","thrpt",4,1,64.354098,NaN,"#/op",RANDOM
"checkNearestNSWE","branch-misses","thrpt",4,1,3405.715675,NaN,"#/op",RANDOM
"checkNearestNSWE","branches","thrpt",4,1,154784.851349,NaN,"#/op",RANDOM
"checkNearestNSWE","cycles","thrpt",4,1,1390694.748695,NaN,"#/op",RANDOM
"checkNearestNSWE","dTLB-load-misses","thrpt",4,1,2417.639593,NaN,"#/op",RANDOM
"checkNearestNSWE","dTLB-loads","thrpt",4,1,345088.387813,NaN,"#/op",RANDOM
"checkNearestNSWE","dTLB-store-misses","thrpt",4,1,4.345529,NaN,"#/op",RANDOM
"checkNearestNSWE","dTLB-stores","thrpt",4,1,93128.997582,NaN,"#/op",RANDOM
"checkNearestNSWE","iTLB-load-misses","thrpt",4,1,66.610667,NaN,"#/op",RANDOM
"checkNearestNSWE","instructions","thrpt",4,1,1110842.348535,NaN,"#/op",RANDOM
"checkNearestNSWE","rate","thrpt",4,10,16343.322110,54.754496,"ops/s",FLAT_BLOCK
"checkNearestNSWE","CPI","thrpt",4,1,0.411117,NaN,"clks/insn",FLAT_BLOCK
"checkNearestNSWE","IPC","thrpt",4,1,2.432395,NaN,"insns/clk",FLAT_BLOCK
"checkNearestNSWE","L1-dcache-loads","thrpt",4,1,99868.638264,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","L1-dcache-stores","thrpt",4,1,10210.634316,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","L1-icache-load-misses","thrpt",4,1,17.189726,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","L1-icache-loads","thrpt",4,1,55600.282904,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","LLC-load-misses","thrpt",4,1,0.000005,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","LLC-loads","thrpt",4,1,6.631539,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","LLC-store-misses","thrpt",4,1,0.000067,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","LLC-stores","thrpt",4,1,0.517107,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","branch-misses","thrpt",4,1,11.915411,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","branches","thrpt",4,1,49986.044819,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","cycles","thrpt",4,1,188719.075320,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","dTLB-load-misses","thrpt",4,1,0.632116,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","dTLB-loads","thrpt",4,1,100387.520607,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","dTLB-store-misses","thrpt",4,1,0.019624,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","dTLB-stores","thrpt",4,1,10233.691703,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","iTLB-load-misses","thrpt",4,1,6.628119,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","instructions","thrpt",4,1,459039.397740,NaN,"#/op",FLAT_BLOCK
"checkNearestNSWE","rate","thrpt",4,10,2939.557289,3.437248,"ops/s",COMPLEX_BLOCK
"checkNearestNSWE","CPI","thrpt",4,1,1.672172,NaN,"clks/insn",COMPLEX_BLOCK
"checkNearestNSWE","IPC","thrpt",4,1,0.598025,NaN,"insns/clk",COMPLEX_BLOCK
